Bulbasaur,001Bulbasaur.png,45,49,49,65,65,45,0.7,6.9,45,64,87.5,70,Grass,Poison,1,2,Medium Slow,Grass,Monster,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Ivysaur,002Ivysaur.png,60,62,63,80,80,60,1,13,45,142,87.5,70,Grass,Poison,1,2,Medium Slow,Grass,Monster,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Venusaur,003Venusaur.png,80,82,83,100,100,80,2,100,45,236,87.5,70,Grass,Poison,1,2,Medium Slow,Grass,Monster,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Mega Venusaur,003Venusaur-Mega.png,80,100,123,122,120,80,2.4,155.5,45,281,87.5,70,Grass,Poison,1,1,Medium Slow,Grass,Monster,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Charmander,004Charmander.png,39,52,43,60,50,65,0.6,8.5,45,62,87.5,70,Fire,,1,2,Medium Slow,Dragon,Monster,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Charmeleon,005Charmeleon.png,58,64,58,80,65,80,1.1,19,45,142,87.5,70,Fire,,1,2,Medium Slow,Dragon,Monster,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Charizard,006Charizard.png,78,84,78,109,85,100,1.7,90.5,45,240,87.5,70,Fire,Flying,1,2,Medium Slow,Dragon,Monster,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Mega Charizard X,006Charizard-Mega_X.png,78,130,111,130,85,100,1.7,110.5,45,285,87.5,70,Fire,Dragon,1,1,Medium Slow,Dragon,Monster,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
Mega Charizard Y,006Charizard-Mega_Y.png,78,104,78,159,115,100,1.7,100.5,45,285,87.5,70,Fire,Flying,1,1,Medium Slow,Dragon,Monster,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Squirtle,007Squirtle.png,44,48,65,50,64,43,0.5,9,45,63,87.5,70,Water,,1,2,Medium Slow,Monster,Water 1,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Wartortle,008Wartortle.png,59,63,80,65,80,58,1,22.5,45,142,87.5,70,Water,,1,2,Medium Slow,Monster,Water 1,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Blastoise,009Blastoise.png,79,83,100,85,105,78,1.6,85.5,45,239,87.5,70,Water,,1,2,Medium Slow,Monster,Water 1,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Mega Blastoise,009Blastoise-Mega.png,79,103,120,135,115,78,1.6,101.1,45,284,87.5,70,Water,,1,1,Medium Slow,Monster,Water 1,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Caterpie,010Caterpie.png,45,30,35,20,20,45,0.3,2.9,255,39,50,70,Bug,,1,2,Medium Fast,Bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Metapod,011Metapod.png,50,20,55,25,25,30,0.7,9.9,120,72,50,70,Bug,,1,1,Medium Fast,Bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Butterfree,012Butterfree.png,60,45,50,90,80,70,1.1,32,45,178,50,70,Bug,Flying,1,2,Medium Fast,Bug,,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Weedle,013Weedle.png,40,35,30,20,20,50,0.3,3.2,255,39,50,70,Bug,Poison,1,2,Medium Fast,Bug,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Kakuna,014Kakuna.png,45,25,50,25,25,35,0.6,10,120,72,50,70,Bug,Poison,1,1,Medium Fast,Bug,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Beedrill,015Beedrill.png,65,90,40,45,80,75,1,29.5,45,178,50,70,Bug,Poison,1,2,Medium Fast,Bug,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Mega Beedrill,015Beedrill-Mega.png,65,150,40,15,80,145,1.4,40.5,45,223,50,70,Bug,Poison,1,1,Medium Fast,Bug,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Pidgey,016Pidgey.png,40,45,40,35,35,56,0.3,1.8,255,50,50,70,Normal,Flying,1,3,Medium Slow,Flying,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeotto,017Pidgeotto.png,63,60,55,50,50,71,1.1,30,120,122,50,70,Normal,Flying,1,3,Medium Slow,Flying,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeot,018Pidgeot.png,83,80,75,70,70,101,1.5,39.5,45,216,50,70,Normal,Flying,1,3,Medium Slow,Flying,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
